11129,11105,10654,13581,1
10289,11268,12868,10268,1
6449,1675,3122,3067,1
731,2604,16663,4911,1
5013,8712,12020,8695,1
1049,16340,859,16313,1
8136,8086,16025,5453,1
7392,6920,14569,838,1
3479,242,14875,3478,1
2781,5189,14841,16654,1
2138,9035,6952,1759,1
11085,16543,14103,12151,1
14099,11925,1772,14417,1
6137,6059,14852,6136,1
17060,2702,8673,198,1
17064,327,2521,3652,1
16258,14832,16161,13092,1
13017,13034,3985,12151,1
12005,12137,380,12135,1
5194,5167,311,5184,1
1995,12135,1972,2010,1
13101,16894,10102,10028,1
4577,2604,2786,751,1
11439,7923,11418,10550,1
2265,5980,4094,4055,1
16646,11702,11735,11717,1
6573,16666,767,6555,1
3863,2727,13541,2738,1
6449,2354,7407,5980,1
217,17064,954,941,1
2305,129,5980,3898,1
12208,3200,12595,13507,1
1507,5317,16672,5283,1
3598,14078,5173,14081,1
2642,14847,2695,2682,1
16404,9897,9989,9966,1
16042,15692,12305,10010,1
1213,4758,17061,1146,1
12982,7635,12146,14101,1
8280,7977,14870,8261,1
8196,12987,7936,16024,1
1432,13104,341,330,1
13042,14776,14756,13105,1
14072,11035,11036,12151,1
4470,16653,9482,2862,1
1049,99,3004,1939,1
3038,3025,3076,253,1
13394,12587,13381,13355,1
98,2484,2505,16667,1
12081,1920,1902,12129,1
5379,7603,3261,3283,1
3585,3468,7782,342,1
16951,5344,6989,7018,1
6625,16667,1929,705,1
14569,2326,12599,2315,1
15006,14974,719,14988,1
3724,3711,1236,17068,1
6505,2813,6467,16661,1
17060,8673,8474,198,1
2038,219,2019,17064,1
8395,8383,1793,15717,1
16819,11967,16333,9747,1
2085,2031,11665,435,1
13546,2627,1761,1750,1
16681,9431,16699,16651,1
194,216,205,17066,1
10710,5734,13844,11083,1
5204,15692,5206,5181,1
17060,8673,1732,8474,1
5901,5882,5468,5845,1
9407,16677,10546,9425,1
15295,13368,14670,11000,1
5396,7552,7521,7573,1
14524,596,14111,661,1
953,17066,194,217,1
12135,2094,3362,433,1
9030,9010,6229,17053,1
2141,7387,14569,7405,1
1777,5676,9478,13551,1
4058,2748,13541,2306,1
13323,13465,13544,2765,1
1522,16672,5306,11665,1
8647,8576,8849,4610,1
1095,4753,17068,2635,1
104,926,957,254,1
15694,15707,3957,3945,1
17064,940,952,17067,1
2563,16039,12702,12721,1
350,1944,143,12129,1
12742,13873,12726,4342,1
1708,2564,16667,2096,1
7464,7429,6921,7430,1
3007,3031,3049,12130,1
2206,13534,2232,995,1
12659,12728,2563,14893,1
17043,17037,17038,2760,1
100,6469,1731,13547,1
338,1761,887,2469,1
1918,1920,1937,564,1
1038,12149,10533,1266,1
4835,17057,17055,4791,1
4984,6379,7788,12291,1
6561,2951,6211,6533,1
16646,11736,11745,11673,1
5063,6433,7788,5043,1
16314,16307,16311,16041,1
17069,8931,8934,997,1
9723,7173,7304,7253,1
14527,14520,16622,13105,1
14850,14078,10951,5173,1
13538,16342,13534,16662,1
1909,4497,710,17067,1
3695,8960,17055,8936,1
2098,8292,8379,7880,1
373,1965,17065,1983,1
15154,16817,12588,3649,1
1708,16667,1916,2096,1
17049,4946,4977,4848,1
2817,5886,13581,5864,1
1729,16664,2570,2550,1
2265,2285,5980,2308,1
